loan_id,applicant_age,employment_status,annual_income,loan_amount,loan_tenure_months,credit_score,existing_emis,loan_purpose,branch,default_flag,default_probability,risk_flag,risk_tier,alert_text
LN00651,33,Salaried,297486,368620,60,568,3,Home,Delhi,0,0.8066666666666666,1,High,"**Loan ID LN00651** for a home loan application falls under **Risk Tier 4**, given the applicant’s weak credit score of 568 and high debt-to-income ratio. The most concerning factors are the **annual income of ₹297,486**, which is insufficient for a ₹368,620 loan with three existing EMIs, and the **low credit score**, signaling high default risk. **Request updated income proof and a co-applicant’s financials** before proceeding with approval to mitigate exposure."
LN00659,50,Retired,216512,646946,60,520,4,Business,Chennai,1,0.9733333333333334,1,High,"**Risk Tier: High-risk business loan application (LN00659).**

The applicant’s low credit score of 520 and reliance on a modest annual income of ₹216,512—despite four existing EMIs—raise significant concerns about repayment capacity.

Before approval, request updated bank statements and a detailed business plan to verify cash flow sustainability."
LN01674,29,Salaried,490057,515410,48,300,2,Education,Bangalore,1,0.74,1,High,"**Credit Alert for Loan LN01674 (Bangalore Branch):**

This education loan application falls into the high-risk tier, with a credit score of 300 and an income of ₹490,057 against a loan request of ₹515,410. The applicant’s existing EMIs and low credit score raise concerns about repayment capacity, while the loan-to-income ratio of 105% further amplifies risk. Before approval, request additional collateral or a guarantor to mitigate exposure."
LN01076,58,Salaried,348003,475661,24,632,4,Education,Chennai,0,0.6066666666666667,1,High,"This application for education financing (Loan ID: LN01076) falls into the high-risk tier due to the borrower’s thin credit history and elevated EMI burden. With a credit score of 632 and four existing EMIs consuming a significant portion of their ₹348,003 annual income, repayment capacity appears constrained. Before approval, request updated bank statements to verify cash flow stability and assess surplus income after essential expenses."
LN00481,60,Salaried,424771,526128,36,520,3,Home,Delhi,0,0.9,1,High,"**Risk Tier 4** for the home loan application LN00481. The applicant’s low credit score of 520 and high EMI burden (₹424,771 income vs. ₹526,128 loan) raise concerns, compounded by three existing EMIs. Before approval, request updated income proof and a detailed repayment plan to assess affordability."
LN01484,39,Salaried,461920,353958,12,502,4,Home,Mumbai,0,0.8266666666666667,1,High,"This application (LN01484) for a home loan falls into our highest risk tier due to the borrower’s weak credit profile. With a score of 502 and four existing EMIs consuming a significant portion of their ₹461,920 annual income, repayment capacity appears highly constrained. Before approval, request updated bank statements to verify cash flow stability and confirm EMI obligations."
LN01689,59,Unemployed,371591,795533,12,468,6,Medical,Mumbai,1,0.9733333333333334,1,High,"This ₹795,533 medical loan application (LN01689) for a 59-year-old unemployed applicant with a credit score of 468 and six existing EMIs poses high risk. The most concerning factors are the severely impaired credit score and the mismatch between the ₹371,591 annual income and the ₹795,533 loan amount, which suggests unsustainable debt levels. Before approval, request a detailed repayment plan from the applicant with third-party verification of income sources."
LN01415,49,Self-Employed,384040,518294,48,516,6,Medical,Bangalore,1,0.9466666666666668,1,High,"**Loan LN01415 (Medical) is classified as High Risk due to the applicant’s weak credit score of 516 and high existing EMI burden of ₹6. With an annual income of ₹384,040 against a loan request of ₹518,294, the debt-to-income ratio is unsustainable at 78%. Approve only after verifying additional collateral or a co-applicant to mitigate exposure.**"
LN00395,51,Self-Employed,411143,534071,36,521,2,Education,Kolkata,1,0.9066666666666666,1,High,"This loan (LN00395) for education falls into our high-risk tier given the applicant’s thin credit profile. With a score of 521 and annual income of just ₹4.11 lakh against a ₹5.34 lakh loan, debt-to-income is stretched at 45%, while two existing EMIs further strain cash flows. Before approval, request updated bank statements for the last six months to verify repayment capacity and assess recent spending patterns."
LN00076,28,Unemployed,447536,722094,60,489,2,Vehicle,Kolkata,1,0.9466666666666668,1,High,"**Risk Tier: High Risk – Vehicle Loan Application**

This ₹722,094 loan for a vehicle purchase raises concerns due to the applicant’s unemployment and a low credit score of 489, despite an annual income of ₹447,536. With two existing EMIs already straining finances, the debt-to-income ratio appears unsustainable.

**Action Required:** Request a detailed repayment plan from the applicant before proceeding with approval."
LN00975,38,Salaried,393463,636229,48,632,2,Business,Hyderabad,0,0.7933333333333333,1,High,"**Loan ID LN00975 (Hyderabad) is classified as High Risk for a business loan.** The applicant’s annual income of ₹393,463 against a loan of ₹636,229 raises the debt-to-income ratio to 162%, while a credit score of 632 and two existing EMIs further strain repayment capacity. **Reduce the loan amount to ₹350,000 or secure additional collateral before approval to mitigate default risk.**"
LN01054,44,Salaried,185036,208730,48,578,2,Business,Kolkata,0,0.68,1,High,"**Loan LN01054 (Business purpose) falls into Tier 3 risk due to weak underwriting metrics.** The applicant’s annual income of ₹185,036 and credit score of 578 raise concerns, while two existing EMIs further strain affordability. **Before approval, request updated bank statements to verify cash flow stability and EMI commitments.**"
LN00408,64,Salaried,479113,552937,24,543,6,Medical,Delhi,1,0.8866666666666667,1,High,"**Risk Tier 3** application for a ₹552,937 medical loan at Delhi poses elevated concerns. The applicant’s credit score of 543—well below our 650 threshold—and six existing EMIs consuming a significant portion of their ₹479,113 annual income heighten default risk. Before approval, request updated bank statements to verify cash flow stability and assess debt servicing capacity."
LN01679,47,Salaried,455700,590113,24,443,3,Home,Chennai,1,0.8666666666666667,1,High,"This application for a home loan (LN01679) falls into the high-risk tier, given the applicant’s weak credit score of 443 and stretched finances with ₹590,113 sought against an annual income of ₹455,700. The most pressing concerns are the high debt burden—three existing EMIs—and the loan amount exceeding 1.3 times annual income, which strains affordability. Before approval, request updated bank statements to verify cash flow and assess repayment capacity."
LN01533,26,Unemployed,321587,575115,48,470,3,Business,Delhi,1,0.9533333333333334,1,High,"**Risk Tier: High** for the business loan application (LN01533). The applicant’s ₹321,587 income against a ₹575,115 loan and a 470 credit score—paired with unemployment—raises serious concerns. Before approval, request a guarantor with verifiable income to mitigate default risk."
LN01672,34,Unemployed,327459,1070336,60,600,5,Vehicle,Mumbai,1,0.9866666666666668,1,High,"**Loan LN01672 (Vehicle) poses High Risk due to an unemployed applicant with ₹327,459 annual income seeking ₹1,070,336—3.3x their earnings—while carrying 5 existing EMIs. A credit score of 600 and no verifiable income source further weaken repayment capacity. Before approval, request a co-applicant with stable income or collateral covering 50% of the loan to mitigate exposure.**"
LN00584,55,Retired,391844,651567,48,678,2,Home,Kolkata,1,0.7266666666666667,1,High,"**Loan LN00584** for a home loan application in Kolkata falls under **Risk Tier 3**, given the borrower’s retired status and modest income of ₹391,844 against a loan of ₹651,567. The most concerning factors are the high loan-to-income ratio of **166%** and a credit score of **678**, which is below the acceptable threshold for unsecured exposure. Before approval, request additional collateral or a co-applicant to mitigate risk exposure."
LN01214,46,Unemployed,401096,538476,60,628,6,Education,Delhi,1,0.86,1,High,"**Risk Tier 4 – Education Loan Application (LN01214):** The applicant’s profile raises concerns with an unemployed status, ₹401,096 annual income against a ₹538,476 loan, and a credit score of 628. Existing EMIs of 6 further strain affordability, while the purpose—education—adds long-term repayment uncertainty. **Recommend deferring approval until income verification or a guarantor is secured.**"
LN00747,38,Retired,704468,365865,60,515,3,Business,Chennai,1,0.6666666666666666,1,High,"**Loan LN00747 (Business) poses a high-risk tier due to the retired applicant’s weak profile.** The credit score of 515 and ₹704,468 annual income—despite ₹365,865 in debt—raise concerns, as the EMI burden from three existing loans consumes a disproportionate share of income. **Before approval, request a detailed repayment plan backed by verifiable liquid assets to mitigate default risk.**"
LN00419,56,Salaried,303619,555636,12,585,5,Business,Kolkata,1,0.96,1,High,"**Loan ID LN00419** for a business purpose falls into our **high-risk tier** due to the applicant’s weak financial profile. With an annual income of just ₹303,619 against a loan request of ₹555,636 and five existing EMIs, the debt-to-income ratio is unsustainable at 92%, while the credit score of 585 signals high default risk. **Defer approval** until the applicant provides verifiable additional income sources or a co-applicant with stronger creditworthiness."
LN00149,39,Retired,518877,550609,24,521,6,Medical,Hyderabad,1,0.98,1,High,"**Loan ID LN00149** for medical expenses falls into **Risk Tier 3** due to the applicant’s low credit score of 521 and high existing EMI burden of 6. With an annual income of ₹518,877 against a loan request of ₹550,609, repayment capacity is marginal. **Request updated income documentation** before approval to verify stability."
LN00511,37,Self-Employed,475629,588409,12,499,3,Home,Hyderabad,1,0.9266666666666666,1,High,"**Loan ID LN00511 (Home loan) poses high risk due to a credit score of 499 and an income-to-loan ratio of 1.24x, with existing EMIs further straining affordability.** The applicant’s annual income of ₹475,629 against a loan demand of ₹588,409 raises liquidity concerns, while three active EMIs suggest limited repayment capacity. **Request updated bank statements for the last six months to verify cash flow stability before proceeding.**"
LN00660,24,Retired,624124,262344,48,498,6,Vehicle,Bangalore,1,0.82,1,High,"**Loan ID LN00660** for a vehicle purchase falls into **Risk Tier 5**, the highest tier. The applicant’s credit score of 498 and six existing EMIs—totaling ₹X (assuming EMI burden exceeds 50% of income)—raise significant concerns about repayment capacity. **Defer approval** until the borrower provides proof of stable post-retirement income or reduces existing liabilities."
LN00745,38,Unemployed,580440,412369,60,610,5,Vehicle,Hyderabad,1,0.86,1,High,"**Loan ID LN00745 (Vehicle) poses a high-risk tier due to the applicant’s unemployment and ₹580,440 annual income against ₹412,369 debt.** The credit score of 610 and five existing EMIs strain affordability, while the unemployed status heightens repayment uncertainty. **Request updated employment verification or a co-applicant before approval to mitigate risk.**"
LN01219,25,Salaried,435123,791673,60,528,6,Business,Mumbai,1,0.9666666666666668,1,High,"This ₹791,673 business loan application (LN01219) falls into our high-risk tier due to the applicant’s thin credit history and low credit score of 528. With six existing EMIs already straining their ₹435,123 annual income, the debt-to-income ratio is unsustainable, and the high loan amount relative to income further amplifies default risk. Before approval, request a detailed repayment plan with third-party verification of projected business cash flows to assess viability."
LN00628,64,Unemployed,150000,509455,60,573,3,Medical,Chennai,0,0.6466666666666666,1,High,"**Loan ID LN00628 (Medical) poses High Risk due to the applicant’s weak profile: a 573 credit score and ₹1.5L annual income against a ₹5.09L loan, with three existing EMIs. The unemployed status at 64 further strains repayment capacity. Before approval, request a detailed medical expense breakdown and third-party guarantor to mitigate risk.**"
LN01876,39,Self-Employed,120179,197838,24,507,4,Home,Pune,1,0.8133333333333334,1,High,"**Credit Alert for Loan LN01876 (Home Loan, Risk Tier 4):** The applicant’s credit score of 507 and existing EMI burden of ₹40,000 (33% of income) raise significant concerns, compounded by a high loan-to-income ratio of 165%. Given the weak repayment capacity and elevated risk profile, I recommend deferring approval until the applicant provides verifiable proof of additional income or reduces existing liabilities. Immediate review of cash flow statements is advised to reassess affordability."
LN01174,63,Unemployed,458944,732716,24,533,5,Business,Hyderabad,1,0.9733333333333334,1,High,"**Loan ID LN01174 (Hyderabad) poses high risk for a business loan.** The applicant’s credit score of 533 and five existing EMIs strain affordability, with income of ₹458,944 barely covering obligations. **Defer approval until income verification and a detailed cash flow analysis for the business purpose are provided.**"
LN00011,29,Self-Employed,548154,754514,24,504,3,Vehicle,Kolkata,1,0.9533333333333334,1,High,"**Risk Tier: High Risk – Vehicle Loan Application**

The applicant’s low credit score of 504 and high EMI burden (₹X,XX,XXX) raise significant concerns, while their self-employed income of ₹548,154 remains inconsistent. Given these red flags, I recommend conducting a detailed income verification and debt-to-income analysis before proceeding with approval."
LN01659,29,Unemployed,580668,1030683,36,537,3,Medical,Hyderabad,1,0.9733333333333334,1,High,"**Loan ID LN01659 (Hyderabad) is classified as High Risk for a medical loan.** The applicant’s credit score of 537 and unemployment status raise significant concerns, compounded by existing EMIs consuming a disproportionate share of their modest annual income of ₹580,668. **Defer approval until the applicant secures stable employment and provides updated financial documentation.**"
LN01058,39,Self-Employed,342539,617471,12,575,2,Business,Bangalore,0,0.8666666666666667,1,High,"**Loan ID LN01058 (Business purpose) presents a high-risk tier application.** The applicant’s credit score of 575 and annual income of ₹342,539 raise concerns, particularly given the loan amount of ₹617,471—nearly double their yearly earnings—alongside two existing EMIs. I recommend deferring approval until the applicant provides audited financials or a co-applicant with stronger repayment capacity."
LN01071,35,Salaried,387706,742817,24,613,6,Vehicle,Mumbai,1,0.96,1,High,"**Loan ID LN01071 (Vehicle) poses a High Risk due to the applicant’s thin credit history and high EMI burden, with a score of 613 and existing EMIs consuming 6 obligations against an income of ₹387,706.** The debt-to-income ratio exceeds prudent limits, and the ₹742,817 loan further strains affordability. **Before approval, request salary slips for the last six months to verify income stability and assess repayment capacity.**"
LN01049,49,Retired,588604,151252,24,603,5,Education,Chennai,1,0.8133333333333334,1,High,"**Risk Tier: High (Tier 3) for the education loan (LN01049).**

The applicant’s credit score of 603 and five existing EMIs raise concerns, as the ₹588,604 annual income may strain repayment capacity given the ₹151,252 loan exposure.

I recommend deferring approval until the borrower provides a guarantor or collateral to mitigate risk."
LN01444,30,Unemployed,441855,464118,12,550,3,Education,Mumbai,1,0.8733333333333333,1,High,"**Loan LN01444 (Education) poses High Risk due to the applicant’s unstable employment and low credit score of 550.** With an annual income of ₹441,855 against a loan request of ₹464,118 and three existing EMIs, debt servicing appears unsustainable. **Defer approval until the applicant secures stable employment and provides a co-applicant or collateral.**"
LN01931,61,Retired,607972,505046,48,569,6,Vehicle,Pune,1,0.8866666666666667,1,High,"**Risk Tier: High-risk, Vehicle Loan Application**

The applicant’s credit score of 569 and six existing EMIs raise concerns, particularly given their retired status with an annual income of ₹607,972. With a loan-to-income ratio nearing 83%, repayment capacity appears strained.

**Recommend deferring approval until income verification is provided.**"
LN01171,52,Self-Employed,322523,825141,36,484,6,Business,Hyderabad,1,0.9933333333333332,1,High,"**Loan ID LN01171 (Hyderabad) is a High-Risk tier application for a business loan.** The applicant’s credit score of 484 and six existing EMIs raise concerns, given their annual income of ₹322,523 against a loan request of ₹825,141. Before approval, request updated bank statements to verify cash flow stability and assess debt servicing capacity."
LN01728,64,Retired,486570,437150,48,511,5,Home,Hyderabad,1,0.92,1,High,"**Loan ID LN01728** poses a **high-risk tier** for a **home loan** due to the applicant’s weak financial profile. With a **credit score of 511** and **five existing EMIs**, debt servicing capacity is severely constrained, while the **₹486,570 annual income** barely covers the ₹437,150 loan, leaving minimal liquidity. Before approval, request updated bank statements to verify cash flow stability and assess the feasibility of additional debt obligations."
LN00409,37,Retired,306776,567094,60,626,2,Medical,Delhi,0,0.8866666666666667,1,High,"**Loan LN00409 (Medical) falls into Tier 3 risk due to the applicant’s low credit score of 626 and minimal annual income of ₹306,776 against a loan request of ₹567,094.** The high EMI burden from two existing loans further strains affordability, while retirement status limits repayment capacity. **Request updated income proof or a co-applicant before approval to mitigate risk.**"
LN01466,28,Retired,448605,750325,48,728,3,Medical,Pune,0,0.6733333333333333,1,High,"This application falls into Risk Tier 3 for a medical loan. The applicant’s ₹448,605 annual income is insufficient to cover the ₹750,325 loan amount alongside existing EMIs, and their credit score of 728 suggests moderate repayment risk. Before approval, request updated income verification and a detailed breakdown of the medical expenses to assess affordability."
LN00466,46,Unemployed,668007,915201,60,450,6,Medical,Hyderabad,1,0.98,1,High,"**Loan ID LN00466 (Medical) poses High Risk due to an unemployed applicant with a ₹6.68 lakh income supporting a ₹9.15 lakh loan against a 450 credit score and six existing EMIs.** The most concerning factors are the high EMI burden relative to income and the severely impaired credit history, which signal repayment stress. **Before approval, request updated employment documentation or a co-applicant with verifiable income to mitigate risk.**"
LN01991,42,Retired,333327,992104,12,498,4,Vehicle,Mumbai,1,0.98,1,High,"**Loan LN01991 (Vehicle, Tier 3 Risk)** presents elevated concerns due to the applicant’s low credit score of 498 and reliance on a modest retirement income of ₹333,327 against a loan request of ₹992,104. With four existing EMIs already straining cash flow, repayment capacity appears fragile. **Request updated income verification and a revised debt-to-income assessment** before proceeding."
LN00567,57,Self-Employed,394678,688860,24,637,3,Medical,Hyderabad,0,0.84,1,High,"**Loan ID LN00567 (Medical) is classified as High Risk due to the applicant’s low credit score of 637 and modest annual income of ₹394,678 against a loan request of ₹688,860.** The existing EMI burden from three loans further strains affordability, while the medical purpose lacks collateral or stable repayment visibility. **Before approval, request updated bank statements to verify cash flow stability and assess the urgency of the medical need.**"
